x  f 
mm   
0.0000 4981.000931 
0.0288 0.024215 
0.0597 0.014210 
0.0885 0.013590 
0.1194 0.016561 
0.1482 0.018623 
0.1791 0.021964 
0.2079 0.025299 
0.2368 0.025709 
0.2676 0.025159 
0.2965 0.024457 
0.3273 0.024574 
0.3561 0.025987 
0.3870 0.026834 
0.4158 0.028779 
0.4467 0.028852 
0.4755 0.028507 
0.5043 0.028845 
0.5352 0.028479 
0.5640 0.029221 
0.5948 0.030706 
0.6236 0.033242 
0.6545 0.036001 
0.6833 0.039069 
0.7121 0.041606 
0.7429 0.043733 
0.7717 0.046109 
0.8026 0.048208 
0.8314 0.050533 
0.8622 0.052039 
0.8910 0.053989 
0.9198 0.055559 
0.9506 0.057547 
0.9794 0.059687 
1.0103 0.061729 
1.0390 0.064660 
1.0699 0.066771 
1.0987 0.069664 
1.1274 0.071832 
1.1583 0.073757 
1.1871 0.076602 
1.2179 0.078429 
1.2467 0.080297 
1.2775 0.082181 
1.3063 0.083852 
1.3371 0.086594 
1.3658 0.089748 
1.3946 0.092745 
1.4254 0.096456 
1.4542 0.099767 
1.4850 0.103500 
1.5138 0.107526 
1.5425 0.112087 
1.5734 0.115607 
1.6021 0.119300 
1.6329 0.122486 
1.6617 0.125421 
1.6925 0.129016 
1.7212 0.132913 
1.7500 0.137338 
1.7808 0.141181 
1.8095 0.145093 
1.8403 0.148704 
1.8691 0.152046 
1.8978 0.155705 
1.9286 0.159236 
1.9574 0.163220 
1.9882 0.167014 
2.0169 0.170854 
2.0456 0.175128 
2.0764 0.179042 
2.1052 0.183453 
2.1360 0.188001 
2.1647 0.192094 
2.1955 0.196241 
2.2242 0.200184 
2.2529 0.203793 
2.2837 0.207689 
2.3124 0.211550 
2.3432 0.215573 
2.3719 0.219757 
2.4007 0.223712 
2.4314 0.227667 
2.4602 0.232003 
2.4909 0.235970 
2.5196 0.239986 
2.5484 0.243794 
2.5791 0.247283 
2.6078 0.251159 
2.6365 0.254875 
2.6673 0.258778 
2.6960 0.262661 
2.7268 0.266629 
2.7555 0.270341 
2.7842 0.274653 
2.8149 0.278531 
2.8436 0.282521 
2.8744 0.286620 
2.9031 0.290179 
2.9318 0.293641 
2.9625 0.296920 
2.9912 0.300487 
