x  f 
mm   
0.0000 40498.244850 
0.0182 0.343706 
0.0267 0.310060 
0.0353 0.318349 
0.0439 0.323237 
0.0621 0.268288 
0.0706 0.270796 
0.0792 0.264541 
0.0974 0.233764 
0.1059 0.240187 
0.1145 0.245232 
0.1230 0.251769 
0.1412 0.239258 
0.1583 0.230672 
0.1669 0.240446 
0.1851 0.240287 
0.2022 0.243858 
0.2108 0.256144 
0.2289 0.255853 
0.2460 0.255400 
0.2546 0.263883 
0.2728 0.256053 
0.2813 0.257320 
0.2899 0.263523 
0.2985 0.269684 
0.3166 0.271577 
0.3252 0.280029 
0.3337 0.282348 
0.3423 0.285919 
0.3605 0.280103 
0.3690 0.283566 
0.3776 0.288953 
0.3861 0.293689 
0.4043 0.291146 
0.4129 0.298445 
0.4214 0.304710 
0.4300 0.310486 
0.4482 0.308746 
0.4567 0.312818 
0.4653 0.314821 
0.4738 0.315983 
0.4920 0.310969 
0.5006 0.311353 
0.5091 0.315824 
0.5177 0.317297 
0.5358 0.313665 
0.5444 0.315849 
0.5529 0.315742 
0.5615 0.318383 
0.5797 0.315710 
0.5882 0.320976 
0.5968 0.326739 
0.6053 0.330967 
0.6235 0.330016 
0.6320 0.333494 
0.6406 0.336086 
0.6492 0.338035 
0.6673 0.335494 
0.6759 0.337004 
0.6844 0.337546 
0.6930 0.338339 
0.7111 0.335020 
0.7197 0.337526 
0.7282 0.343767 
0.7368 0.352563 
0.7550 0.352311 
0.7635 0.352279 
0.7721 0.351590 
0.7806 0.351468 
0.7988 0.348132 
0.8073 0.350843 
0.8159 0.353129 
0.8244 0.355919 
0.8426 0.356404 
0.8511 0.361201 
0.8597 0.364815 
0.8682 0.365903 
0.8864 0.363606 
0.8950 0.364812 
0.9035 0.364310 
0.9121 0.365132 
0.9302 0.361164 
0.9388 0.361965 
0.9473 0.363609 
0.9559 0.364850 
0.9740 0.362189 
0.9826 0.362853 
0.9911 0.363636 
0.9997 0.366432 
1.0178 0.365029 
1.0349 0.362222 
1.0435 0.361888 
1.0616 0.357529 
1.0702 0.356880 
1.0787 0.357072 
1.0873 0.356838 
1.0958 0.356517 
1.1140 0.351788 
1.1225 0.349412 
1.1311 0.346969 
1.1492 0.341768 
1.1663 0.338018 
1.1748 0.335698 
1.1930 0.330631 
1.2101 0.323037 
1.2186 0.315876 
1.2368 0.310269 
1.2539 0.306802 
1.2624 0.307273 
1.2710 0.309320 
1.2891 0.306841 
1.3062 0.306483 
1.3147 0.306144 
1.3329 0.302134 
1.3414 0.299132 
1.3500 0.295032 
1.3585 0.290884 
1.3767 0.286748 
1.3852 0.285231 
1.3938 0.284408 
1.4023 0.285190 
1.4205 0.283128 
1.4375 0.282121 
1.4461 0.282052 
1.4642 0.280639 
1.4813 0.278398 
1.4899 0.278747 
1.4984 0.277852 
1.5165 0.274175 
1.5251 0.272299 
1.5336 0.270806 
1.5422 0.271826 
1.5603 0.270313 
1.5774 0.269542 
1.5859 0.270197 
1.6041 0.267518 
1.6211 0.266956 
1.6297 0.266290 
1.6382 0.266123 
1.6564 0.264216 
1.6649 0.263999 
1.6734 0.264267 
1.6820 0.263897 
1.7001 0.264232 
1.7087 0.266113 
1.7172 0.270122 
1.7257 0.273592 
1.7439 0.272688 
1.7524 0.274181 
1.7610 0.273661 
1.7695 0.272067 
1.7876 0.269626 
1.8047 0.265263 
1.8132 0.264779 
1.8218 0.264963 
1.8399 0.265390 
1.8485 0.267858 
1.8570 0.268964 
1.8655 0.270940 
1.8837 0.270756 
1.8922 0.271377 
1.9007 0.272551 
1.9093 0.271978 
1.9274 0.269149 
1.9445 0.266673 
1.9530 0.264085 
1.9615 0.261698 
1.9797 0.257934 
1.9882 0.256488 
1.9967 0.256826 
2.0053 0.257162 
2.0234 0.257262 
2.0405 0.255076 
2.0490 0.252989 
2.0671 0.249804 
2.0842 0.247302 
2.0927 0.246482 
2.1013 0.244274 
2.1194 0.241730 
2.1279 0.239685 
2.1365 0.238760 
2.1450 0.238789 
2.1631 0.236493 
2.1802 0.235578 
2.1887 0.234460 
2.1973 0.232974 
2.2154 0.228854 
2.2239 0.225250 
2.2324 0.222919 
2.2410 0.219573 
2.2591 0.216190 
2.2676 0.214524 
2.2762 0.213469 
2.2847 0.214111 
2.3028 0.214150 
2.3199 0.212390 
2.3284 0.209533 
2.3369 0.206662 
2.3551 0.205034 
2.3636 0.205105 
2.3721 0.203883 
2.3807 0.202630 
2.3988 0.199407 
2.4158 0.198558 
2.4244 0.199568 
2.4329 0.199411 
2.4510 0.198784 
2.4681 0.197874 
2.4766 0.198883 
2.4947 0.199189 
2.5118 0.197461 
2.5203 0.196004 
2.5288 0.193159 
2.5469 0.190903 
2.5555 0.190685 
2.5640 0.189655 
2.5725 0.187880 
2.5906 0.185604 
2.6077 0.184120 
2.6162 0.184149 
2.6247 0.185245 
2.6429 0.184650 
2.6599 0.182362 
2.6684 0.181783 
2.6866 0.179747 
2.7036 0.178745 
2.7121 0.180362 
2.7207 0.180422 
2.7388 0.180394 
2.7558 0.180448 
2.7643 0.180796 
2.7825 0.180271 
2.7995 0.179527 
2.8080 0.179037 
2.8165 0.177956 
2.8347 0.176066 
2.8517 0.174751 
2.8602 0.174600 
2.8687 0.173860 
2.8869 0.172044 
2.8954 0.169776 
2.9039 0.168810 
2.9124 0.168517 
2.9305 0.167986 
2.9476 0.167719 
2.9561 0.166414 
2.9646 0.166093 
2.9827 0.165458 
2.9998 0.164178 
3.0083 0.162539 
3.0168 0.160355 
3.0349 0.158735 
3.0434 0.158593 
3.0520 0.158847 
3.0605 0.160173 
3.0690 0.160083 
3.0871 0.159973 
3.0956 0.160719 
3.1041 0.161224 
3.1127 0.160707 
3.1308 0.158837 
3.1478 0.156738 
3.1563 0.155296 
3.1648 0.155370 
3.1829 0.154529 
3.1915 0.153803 
3.2000 0.152115 
3.2085 0.149963 
3.2266 0.149901 
3.2436 0.149191 
3.2522 0.148939 
3.2607 0.148716 
3.2788 0.148699 
3.2958 0.149373 
3.3043 0.149444 
3.3128 0.148938 
3.3309 0.146627 
3.3395 0.145129 
3.3480 0.143617 
3.3565 0.142728 
3.3650 0.141817 
3.3831 0.140177 
3.4001 0.138640 
3.4086 0.137218 
3.4267 0.135602 
3.4438 0.133894 
3.4523 0.133759 
3.4608 0.132862 
3.4789 0.131628 
3.4959 0.131401 
3.5044 0.131528 
3.5130 0.132851 
3.5310 0.132907 
3.5396 0.132441 
3.5481 0.131119 
3.5651 0.128138 
3.5832 0.126097 
3.5917 0.124652 
3.6002 0.123788 
3.6087 0.123114 
3.6172 0.123714 
3.6353 0.124408 
3.6438 0.124329 
3.6609 0.123798 
3.6694 0.122850 
3.6875 0.121290 
3.7045 0.120018 
3.7130 0.119154 
3.7215 0.117484 
3.7396 0.114484 
3.7481 0.112573 
3.7566 0.110983 
3.7651 0.109816 
3.7832 0.108664 
3.7917 0.108129 
3.8088 0.107419 
3.8173 0.107062 
3.8353 0.107200 
3.8524 0.106921 
3.8609 0.106637 
3.8694 0.106258 
3.8875 0.105546 
3.9045 0.105466 
3.9130 0.105988 
3.9215 0.105481 
3.9396 0.104625 
3.9566 0.103352 
3.9651 0.101685 
3.9736 0.100937 
3.9917 0.099783 
4.0002 0.098424 
4.0172 0.096899 
4.0257 0.094855 
4.0438 0.093581 
4.0608 0.093053 
4.0693 0.092740 
4.0778 0.092360 
4.0959 0.091560 
4.1044 0.090793 
4.1129 0.089713 
4.1214 0.088695 
4.1299 0.086793 
4.1480 0.084476 
4.1650 0.083321 
4.1735 0.082628 
4.1820 0.082329 
4.2001 0.082008 
4.2086 0.082034 
4.2171 0.081928 
4.2256 0.081804 
4.2341 0.082303 
4.2522 0.082287 
4.2692 0.082244 
4.2777 0.082290 
4.2862 0.081856 
4.3043 0.079926 
4.3213 0.078634 
4.3298 0.077625 
4.3383 0.076341 
4.3564 0.076055 
4.3649 0.075975 
4.3734 0.075770 
4.3819 0.075688 
4.3904 0.075067 
4.3989 0.074258 
4.4170 0.073676 
4.4255 0.073089 
4.4425 0.072483 
4.4510 0.072368 
4.4690 0.072090 
4.4775 0.072418 
4.4860 0.073165 
4.4945 0.073365 
4.5030 0.073122 
4.5211 0.072736 
4.5296 0.071855 
4.5381 0.071555 
4.5466 0.071599 
4.5551 0.071713 
4.5732 0.071501 
4.5902 0.071233 
4.5987 0.071413 
4.6072 0.071475 
4.6252 0.071672 
4.6422 0.072045 
4.6592 0.071710 
4.6677 0.071426 
4.6858 0.071354 
4.6943 0.071088 
4.7028 0.070623 
4.7113 0.070030 
4.7198 0.069095 
4.7379 0.068287 
4.7464 0.067573 
4.7549 0.067084 
4.7633 0.066681 
4.7718 0.067048 
4.7899 0.067492 
4.8069 0.067861 
4.8154 0.068280 
4.8239 0.067903 
4.8420 0.067476 
4.8589 0.067143 
4.8674 0.067012 
4.8759 0.067320 
4.8844 0.067269 
4.9025 0.067338 
4.9110 0.067623 
4.9195 0.067652 
4.9280 0.068141 
4.9365 0.068180 
4.9545 0.067700 
4.9630 0.067188 
4.9800 0.066585 
4.9885 0.066337 
4.9981 0.065836 
5.0151 0.065327 
5.0235 0.064901 
5.0320 0.064535 
5.0405 0.064407 
5.0501 0.064484 
5.0671 0.064754 
5.0756 0.064679 
5.0926 0.064707 
5.1011 0.064852 
5.1191 0.064165 
5.1361 0.063902 
5.1446 0.063652 
5.1531 0.063114 
5.1616 0.062771 
5.1796 0.062789 
5.1966 0.063039 
5.2051 0.063206 
5.2136 0.063232 
5.2316 0.063031 
5.2401 0.062666 
5.2486 0.062214 
5.2571 0.061514 
5.2656 0.060861 
5.2836 0.059688 
5.3006 0.058677 
5.3091 0.058434 
5.3176 0.058372 
5.3261 0.058396 
5.3441 0.057893 
5.3611 0.056957 
5.3781 0.056005 
5.3961 0.055251 
5.4131 0.054724 
5.4216 0.054620 
5.4301 0.054031 
5.4481 0.053346 
5.4651 0.052730 
5.4736 0.052048 
5.4821 0.051507 
5.4906 0.051035 
5.5086 0.050784 
5.5256 0.050702 
5.5341 0.050704 
5.5426 0.050531 
5.5511 0.050074 
5.5691 0.049704 
5.5776 0.049414 
5.5861 0.049306 
5.5946 0.049266 
5.6031 0.048933 
5.6211 0.048526 
5.6381 0.048327 
5.6466 0.048213 
5.6550 0.048071 
5.6635 0.047959 
5.6816 0.047437 
5.6985 0.046640 
5.7070 0.046107 
5.7240 0.045722 
5.7420 0.045051 
5.7590 0.044810 
5.7675 0.044786 
5.7760 0.044355 
5.7940 0.043958 
5.8025 0.044122 
5.8110 0.044234 
5.8279 0.044160 
5.8364 0.044123 
5.8544 0.043849 
5.8714 0.043655 
5.8799 0.043320 
5.8884 0.043179 
5.9064 0.042912 
5.9234 0.042097 
5.9319 0.041465 
5.9403 0.041165 
5.9488 0.041044 
5.9573 0.041196 
5.9753 0.041306 
5.9838 0.041437 
6.0008 0.041425 
6.0093 0.041166 
6.0273 0.040701 
6.0442 0.040254 
6.0527 0.039985 
6.0612 0.040048 
6.0697 0.040026 
6.0792 0.039719 
6.0962 0.038999 
6.1047 0.038451 
6.1131 0.038091 
6.1216 0.037719 
6.1301 0.037349 
6.1397 0.037125 
6.1566 0.036865 
6.1651 0.036625 
6.1821 0.036504 
6.1905 0.036560 
6.2085 0.036520 
6.2170 0.036467 
6.2255 0.036720 
6.2340 0.036693 
6.2425 0.036516 
6.2520 0.036595 
6.2690 0.036400 
6.2774 0.036044 
6.2944 0.035765 
6.3029 0.035481 
6.3209 0.035086 
6.3294 0.034594 
6.3463 0.034099 
6.3548 0.034037 
6.3633 0.033836 
6.3813 0.033577 
6.3898 0.033767 
6.3982 0.033535 
6.4067 0.033031 
6.4237 0.032568 
6.4417 0.031936 
6.4502 0.031637 
6.4671 0.031373 
6.4756 0.031313 
6.4841 0.031367 
6.4925 0.031245 
6.5106 0.031171 
6.5275 0.031245 
6.5360 0.031072 
6.5445 0.030958 
6.5529 0.030858 
6.5709 0.031113 
6.5794 0.031246 
6.5964 0.031169 
6.6048 0.031500 
6.6228 0.031566 
6.6313 0.031377 
6.6483 0.031251 
6.6567 0.031160 
6.6652 0.030955 
6.6832 0.030781 
6.6917 0.030623 
6.7086 0.030351 
6.7256 0.029949 
6.7425 0.029472 
6.7605 0.029022 
6.7775 0.028668 
6.7860 0.028390 
6.8040 0.028188 
6.8209 0.028005 
6.8378 0.027610 
6.8463 0.027362 
6.8633 0.027416 
6.8813 0.027467 
6.8982 0.027475 
6.9067 0.027354 
6.9151 0.027302 
6.9331 0.027055 
6.9501 0.026895 
6.9585 0.026868 
6.9755 0.026678 
6.9840 0.026522 
7.0020 0.026381 
7.0104 0.026254 
7.0274 0.025947 
7.0358 0.025840 
7.0443 0.025741 
